type,salary,title,street,city,country_code,address_text,marker_icon,workplace_type,company_name,company_url,company_size,experience_level,latitude,longitude,published_at,remote_interview,id,company_logo_url,remote,skill0,level0,skill1,level1,skill2,level2
b2b,20000,Senior React Developer,Czesława Miłosza 9/9,Gdańsk,PL,"Czesława Miłosza 9/9, Gdańsk",javascript,remote,Scalac,http://www.scalac.io,100,senior,54.3480183,18.5906038,2022-01-06T11:00:26.862Z,true,scalac-senior-react-developer,https://bucket.justjoin.it/offers/company_logos/thumb/060f7eb5e899165a5ef7ae17df8e5eb9383e3f68.png?1625570045,true,ReactJS,4,JavaScript,4,English,4
permanent,11250,Frontend Developer (internal project),Czesława Miłosza 9/9,Gdańsk,PL,"Czesława Miłosza 9/9, Gdańsk",javascript,remote,Scalac,http://www.scalac.io,100,mid,54.3480183,18.5906038,2022-01-06T11:00:26.862Z,true,scalac-frontend-developer-internal-project,https://bucket.justjoin.it/offers/company_logos/thumb/2151e981f5ecc580b893361a291a9bcf85433e29.png?1633958768,true,ReactJS,3,React,3,JavaScript,3
permanent,7750,Java Developer,Sienkiewicza 72,Łódź,PL,"Sienkiewicza 72, Łódź",java,partly_remote,Media4U,https://www.media4u.pl/,<100,mid,51.7592224,19.4631989,2022-01-06T11:00:26.862Z,true,media4u-java-developer-lodz,https://bucket.justjoin.it/offers/company_logos/thumb/39363dac1d6aceb25edb77e738d443a35996b4dc.png?1589294873,false,Spring Framework,3,OOP,4,Java 8,4
permanent,11500,Consultant Salesforce - Business Analyst,Al. Jerozolimskie 123a,Warszawa,PL,"Al. Jerozolimskie 123a, Warszawa",analytics,remote,Enxoo,https://enxoo.com/,200+,mid,52.2247977,20.991299,2022-01-06T11:00:26.862Z,true,enxoo-consultant-salesforce-business-analyst-warszawa,https://bucket.justjoin.it/offers/company_logos/thumb/61598e5de3e6158c1e6515bf72c301cbb67c7e8b.png?1623425071,true,BPMN,3,ERP,3,CRM,3
permanent,10250,iOS Developer,Centrum,Bydgoszcz,PL,"Centrum, Bydgoszcz",mobile,remote,Codelab Sp. z o.o.,https://codelab.eu/en/career/meet-us,200-300,mid,53.1216327,17.9994868,2022-01-06T11:00:26.862Z,true,codelab-sp-z-o-o-ios-developer,https://bucket.justjoin.it/offers/company_logos/thumb/df8d5cbe068728e3d32958c1fc4e7de6bbfe7731.png?1639737823,true,English,3,Software Development,3,iOS,3
mandate_contract,19750,Senior Android Developer,Przemysłowa 12,Kraków,PL,"Przemysłowa 12, Kraków",mobile,remote,Untitled Kingdom,https://www.untitledkingdom.com,40+,senior,50.0482228,19.9594464,2022-01-06T11:00:26.862Z,true,untitled-kingdom-senior-android-developer,https://bucket.justjoin.it/offers/company_logos/thumb/7dc20dd7182409e81fb1a0ace17ddc75b58b4174.png?1570100892,true,Dagger 2,3,RxJava 2,4,Kotlin,4
b2b,13500,Embedded Developer,-,Katowice,PL,"-, Katowice",c,remote,Grenton Sp. z o.o.,http://www.grenton.pl,40 - 50,mid,50.2648919,19.0237815,2022-01-06T11:00:26.862Z,true,grenton-sp-z-o-o-embedded-developer-katowice,https://bucket.justjoin.it/offers/company_logos/thumb/1f07bbddd082c72538a50788a52941ebf6f72916.png?1638357219,true,Python,4,C++,4,C,5
permanent,5500,IT Cloud Support Engineer,Maraton Business Center,Poznań,PL,"Maraton Business Center, Poznań",support,office,ExpressVPN,https://www.expressvpn.com,100+,junior,52.3989947,16.9313417,2022-01-06T11:00:26.862Z,true,expressvpn-it-cloud-support-engineer-poznan,https://bucket.justjoin.it/offers/company_logos/thumb/f165becfeb267882bf7dc7525e48015c158d0184.jpeg?1638980754,false,Linux OS,4,SaaS,4,Cloud,4
b2b,23000,Senior Software Engineer C,Krańcowa 5,Warszawa,PL,"Krańcowa 5, Warszawa",c,remote,Codilime,https://www.codilime.com/careers/,200+,senior,52.2026196,20.9277622,2022-01-06T11:00:26.862Z,true,codilime-senior-software-engineer-c,https://bucket.justjoin.it/offers/company_logos/thumb/16638084b18c2d8575e8d44a6827dbe3147afb56.png?1637584740,true,Linux Kernel,3,Networking,3,C,4
permanent,19000,AUTOSAR Architect,Strzegomska 48A,Wrocław,PL,"Strzegomska 48A, Wrocław",architecture,remote,GlobalLogic,http://www.globallogic.com/pl,1000+,senior,51.1125824,16.9844905,2022-01-06T11:00:26.862Z,true,globallogic-autosar-architect,https://bucket.justjoin.it/offers/company_logos/thumb/930c2f14cd306fd78eff77ed588e69f9e53207f4.jpg?1639739498,true,Autosar,4,Architecture,5,Embedded C,5
